name,densidade demografica 2019 (hab/km2),old_rel_2010,(mean) Percentual da população que vive em domicílios com densidade superior a 2 pessoas por dormitório,(mean) Percentual de pessoas em domicílios com abastecimento de água e esgotamento sanitário inadequados,(mean) Índice de Desenvolvimento Humano Municipal,est_active_cases (2020-06-14),FOI,vel_infection,Class,Bandeira
Joana Bezerra,1.55356321839081,0.0401746078721515,3.67,45.47,622,30,0.00566092018934549,0.451977401129944,4,Laranja
Jordão,1.40740506329114,0.0625983720825651,2.3775,35.9825,0.66725,105,0.011288111024582,0.749235474006116,4,Laranja
Linha do Tiro,1.94036585365854,0.0560618440072906,2.45,36.32,664,80,0.0133933614395123,0.817120622568093,4,Laranja
Macaxeira,1.7392,0.0457681692732291,1.63,24.4,757,75,0.00929781757167414,0.648679678530425,3,Amarela
Madalena,1.34989071038251,0.086912520746468,1.592,23.734,0.7806,150,0.0191273604585682,0.563674321503132,4,Laranja
Mangabeira,2.5648275862069,0.0756923904275343,3.07,29.02,714,5,0.00174902840142753,0.199386503067485,3,Amarela
Mangueira,2.92774193548387,0.0719479947113266,3.035,34.48,686,50,0.0135975399005779,0.820707070707071,4,Laranja
Monteiro,1.19490566037736,0.0737407231959577,1.58,21.5525,801,15,0.00606499630951684,0.927152317880795,2,Verde
Morro da Conceição,2.86763157894737,0.0719464072680554,5.49,35.59,659,40,0.00946644836754446,0.65450643776824,4,Laranja
Mustardinha,2.11142857142857,0.0747256051721546,2.13,32.84,0.7255,45,0.00861008195415907,0.704225352112676,4,Laranja
Nova Descoberta,2.03416666666667,0.0579270790659566,3.73,40.6,643,120,0.00911006938502652,0.586749017405952,4,Laranja
Paissandu,0.159705882352941,0.128913443830571,5.33,7.52,893,0,0,0.178571428571429,3,Amarela
Parnamirim,1.33967213114754,0.102790014684288,1.405,13.715,0.8685,10,0.00346141832477332,0.484330484330484,2,Verde
Passarinho,0.535246305418719,0.0383323362937739,3.35,42.28,632,50,0.0059885660285495,0.581896551724138,4,Laranja
Pau-Ferro,0.0175,0.0779220779220779,2.79,18.67,798,0,0,0,2,Verde
